ticker,peer_string,peer_list
TRIL,,['']
TRIP,"EXPE,MMYT,NFLX,PCOM","['EXPE', 'MMYT', 'NFLX', 'PCOM']"
TRMB,"FARO,ADSK,GRMN,DHR,MSI,MMM,CAT,HON,RAVN","['FARO', 'ADSK', 'GRMN', 'DHR', 'MSI', 'MMM', 'CAT', 'HON', 'RAVN']"
TRMD,,['']
TRMK,"RF,RNST,BXS,PNFP,FHN,CIZN,SP,PFBX,FBMS","['RF', 'RNST', 'BXS', 'PNFP', 'FHN', 'CIZN', 'SP', 'PFBX', 'FBMS']"
TRMT,"OTRA,OXLC,OXSQ,PAC-CA","['OTRA', 'OXLC', 'OXSQ', 'PAC-CA']"
TRN,"WAB,GBX,RAIL,CAT,IEP","['WAB', 'GBX', 'RAIL', 'CAT', 'IEP']"
TRNO,"REXR,MAA,SUI,STAG","['REXR', 'MAA', 'SUI', 'STAG']"
TRNS,"AMOT,DHR,COHU,GIGA,A,ESP,BELFA,EMR","['AMOT', 'DHR', 'COHU', 'GIGA', 'A', 'ESP', 'BELFA', 'EMR']"
TROW,"AMG,BEN,AB,AMP","['AMG', 'BEN', 'AB', 'AMP']"
TROX,"KRO,VHI,HUN,SXT,TORM","['KRO', 'VHI', 'HUN', 'SXT', 'TORM']"
TRP,"ENB,EPD,WMB,SE,KMI,PAA,ENB-CA,TAC,UGP,UGPA3-BR","['ENB', 'EPD', 'WMB', 'SE', 'KMI', 'PAA', 'ENB-CA', 'TAC', 'UGP', 'UGPA3-BR']"
TRQ,"AUY,EGO,AU,GFI,GOLD,YRI-CA,RIO,ELD-CA,K-CA","['AUY', 'EGO', 'AU', 'GFI', 'GOLD', 'YRI-CA', 'RIO', 'ELD-CA', 'K-CA']"
TRS,"NPO,GEF,CPRT,CMI,GE,GD,F,GM,ATR,WOR","['NPO', 'GEF', 'CPRT', 'CMI', 'GE', 'GD', 'F', 'GM', 'ATR', 'WOR']"
TRST,"NECB,LSBK,ESBK,GCBC,SIEMEL-CL,CARV,PBCT,NYCB,NFBK,BHLB","['NECB', 'LSBK', 'ESBK', 'GCBC', 'SIEMEL-CL', 'CARV', 'PBCT', 'NYCB', 'NFBK', 'BHLB']"
TRT,"CVV,IMOS,AXTI,UCTT","['CVV', 'IMOS', 'AXTI', 'UCTT']"
TRTN,"TRTN,OPI-CA,UNIT,VAMO3-BR","['TRTN', 'OPI-CA', 'UNIT', 'VAMO3-BR']"
TRTX,"OTRA,OXLC,OXSQ,PAC-CA","['OTRA', 'OXLC', 'OXSQ', 'PAC-CA']"
TRU,"CDK,CDW,JKHY,FORR","['CDK', 'CDW', 'JKHY', 'FORR']"
TRUE,"GOOGL,IPDN,GM,GCI,EBAY","['GOOGL', 'IPDN', 'GM', 'GCI', 'EBAY']"
TRUP,"WOOF,NEWR,CLS,NTIP","['WOOF', 'NEWR', 'CLS', 'NTIP']"
TRV,"XL,ALL,ACGL,Y,WTM,AFG,RLI,SIGI","['XL', 'ALL', 'ACGL', 'Y', 'WTM', 'AFG', 'RLI', 'SIGI']"
TRVG,"PBYA,PAXH,PERI,PHA-CA","['PBYA', 'PAXH', 'PERI', 'PHA-CA']"
TRVN,"AMGN,CYTK,CARA,MRK,ARNA,ACRX,FLXN","['AMGN', 'CYTK', 'CARA', 'MRK', 'ARNA', 'ACRX', 'FLXN']"
TRX,"GSS,AAU,GSC-CA,AMM-CA","['GSS', 'AAU', 'GSC-CA', 'AMM-CA']"
TS,"X,MT,NOV,WEBC,SYNL,YPF,TX,VMI,OFLX,MWA","['X', 'MT', 'NOV', 'WEBC', 'SYNL', 'YPF', 'TX', 'VMI', 'OFLX', 'MWA']"
TSBK,"FFNW,PROV,RVSB,FSBW,TBNK,BANC,BYFC,SMPL","['FFNW', 'PROV', 'RVSB', 'FSBW', 'TBNK', 'BANC', 'BYFC', 'SMPL']"
TSC,"NWFL,ORRF,CCNE,MPB,UVSP,STBA,ACNB,BMTC","['NWFL', 'ORRF', 'CCNE', 'MPB', 'UVSP', 'STBA', 'ACNB', 'BMTC']"
TSCAP,,['']
TSCO,"HD,CONN,AMZN,LOW,TITN,JCTCF,POOL,LKQ,SHW","['HD', 'CONN', 'AMZN', 'LOW', 'TITN', 'JCTCF', 'POOL', 'LKQ', 'SHW']"
TSE,"KRA,DOW,WLK,CE","['KRA', 'DOW', 'WLK', 'CE']"
TSEM,"TXN,MU,TSM,TDY,UMC,QUIK,IBM","['TXN', 'MU', 'TSM', 'TDY', 'UMC', 'QUIK', 'IBM']"
TSI,,['']
TSLA,"SPCE,FB,AAPL,NFLX,AMZN","['SPCE', 'FB', 'AAPL', 'NFLX', 'AMZN']"
TSLX,"OTRA,OXLC,OXSQ,PAC-CA","['OTRA', 'OXLC', 'OXSQ', 'PAC-CA']"
TSM,"TXN,ADI,ALTR,INTC,AMAT,IFNNY,TSEM,XLNX,NVDA,STM","['TXN', 'ADI', 'ALTR', 'INTC', 'AMAT', 'IFNNY', 'TSEM', 'XLNX', 'NVDA', 'STM']"
TSN,"PPC,SAFM,SEB,HRL,BRFS","['PPC', 'SAFM', 'SEB', 'HRL', 'BRFS']"
TSQ,"CJREF,EMMS,CMLS,IHRT","['CJREF', 'EMMS', 'CMLS', 'IHRT']"
TSRI,"MHH,MAN,RHI,ASGN,KFRC,JOB,CTG","['MHH', 'MAN', 'RHI', 'ASGN', 'KFRC', 'JOB', 'CTG']"
